-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                 Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::empty         0.32%      58.540ms         0.32%      58.540ms       2.429us       4.52 Gb       4.52 Gb         24101  
                                            aten::cat         1.74%     320.024ms         2.46%     452.961ms      26.458us       1.06 Gb       1.06 Gb         17120  
                                  aten::empty_strided         0.50%      92.354ms         0.50%      92.354ms       2.241us     367.88 Mb     367.88 Mb         41217  
                                       aten::_softmax         0.50%      91.793ms         0.50%      91.793ms     179.282us     250.50 Mb     250.50 Mb           512  
                                             aten::mm        50.63%        9.309s        50.68%        9.317s     322.093us     250.22 Mb     250.22 Mb         28928  
                                        aten::resize_         0.01%       1.532ms         0.01%       1.532ms       2.991us     224.08 Mb     224.08 Mb           512  
                                            aten::mul         1.32%     243.285ms         1.35%     247.521ms       6.446us     207.10 Mb     207.09 Mb         38400  
                                         aten::cumsum         0.49%      90.710ms         0.49%      90.852ms     177.099us     125.51 Mb     125.51 Mb           513  
                                           aten::sort         3.41%     626.549ms         3.60%     662.130ms       2.586ms     375.75 Mb     125.25 Mb           256  
                                            aten::div         0.10%      17.851ms         0.11%      20.202ms      39.457us     125.25 Mb     125.25 Mb           512  
-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
